State,County,Adult obesity,Food environment index
CA,Alameda County,0.207,7.775
CA,Alameda County,0.205,7.6
CA,Amador County,0.23,8.073
CA,Amador County,0.248,7.7
CA,Butte County,0.243,6.755
CA,Butte County,0.244,6.4
CA,Calaveras County,0.258,8.038
CA,Calaveras County,0.243,7.7
CA,Colusa County,0.226,6.946
CA,Colusa County,0.223,7.0
CA,Contra Costa County,0.237,8.139
CA,Contra Costa County,0.224,8.0
CA,Del Norte County,0.255,6.405
CA,Del Norte County,0.255,6.0
CA,El Dorado County,0.203,8.067
CA,El Dorado County,0.21,7.9
CA,Fresno County,0.294,6.46
CA,Fresno County,0.285,6.5
CA,Glenn County,0.268,7.01
CA,Glenn County,0.259,6.9
CA,Humboldt County,0.265,7.088
CA,Humboldt County,0.257,6.5
CA,Imperial County,0.235,4.796
CA,Imperial County,0.221,5.3
CA,Inyo County,0.238,7.284
CA,Inyo County,0.228,6.9
CA,Kern County,0.278,6.843
CA,Kern County,0.28,6.9
CA,Kings County,0.242,6.62
CA,Kings County,0.237,6.5
CA,Lake County,0.267,6.343
CA,Lake County,0.265,6.0
CA,Lassen County,0.256,4.625
CA,Lassen County,0.241,4.3
CA,Los Angeles County,0.213,7.455
CA,Los Angeles County,0.213,7.4
CA,Madera County,0.297,6.762
CA,Madera County,0.276,6.8
CA,Marin County,0.154,8.673
CA,Marin County,0.158,8.5
CA,Mariposa County,0.238,7.567
CA,Mariposa County,0.241,7.2
CA,Mendocino County,0.248,7.246
CA,Mendocino County,0.242,6.8
CA,Merced County,0.313,6.315
CA,Merced County,0.311,6.3
CA,Modoc County,0.251,5.97
CA,Modoc County,0.241,5.8
CA,Mono County,0.208,7.496
CA,Mono County,0.216,7.2
CA,Monterey County,0.228,7.578
CA,Monterey County,0.22,7.6
CA,Napa County,0.236,8.405
CA,Napa County,0.241,8.3
CA,Nevada County,0.185,8.006
CA,Nevada County,0.178,7.6
CA,Orange County,0.204,8.539
CA,Orange County,0.207,8.4
CA,Placer County,0.228,8.446
CA,Placer County,0.225,8.2
CA,Plumas County,0.23,7.477
CA,Plumas County,0.248,7.1
CA,Riverside County,0.27,7.401
CA,Riverside County,0.259,7.4
CA,Sacramento County,0.277,7.343
CA,Sacramento County,0.269,7.0
CA,San Benito County,0.243,7.673
CA,San Benito County,0.233,7.9
CA,San Bernardino County,0.282,7.109
CA,San Bernardino County,0.277,7.0
CA,San Diego County,0.231,7.898
CA,San Diego County,0.226,7.7
CA,San Francisco County,0.16,7.719
CA,San Francisco County,0.152,7.4
CA,San Joaquin County,0.31,6.912
CA,San Joaquin County,0.304,6.9
CA,San Luis Obispo County,0.2,7.946
CA,San Luis Obispo County,0.204,7.7
CA,San Mateo County,0.2,8.679
CA,San Mateo County,0.208,8.5
CA,Santa Barbara County,0.192,8.073
CA,Santa Barbara County,0.194,7.9
CA,Santa Clara County,0.21,8.368
CA,Santa Clara County,0.204,8.3
CA,Santa Cruz County,0.201,7.643
CA,Santa Cruz County,0.215,7.5
CA,Shasta County,0.28,6.795
CA,Shasta County,0.273,6.4
CA,Sierra County,0.234,5.661
CA,Sierra County,0.233,5.2
CA,Siskiyou County,0.233,6.389
CA,Siskiyou County,0.217,6.0
CA,Solano County,0.271,7.639
CA,Solano County,0.265,7.4
CA,Sonoma County,0.225,8.083
CA,Sonoma County,0.224,7.8
CA,Stanislaus County,0.308,6.844
CA,Stanislaus County,0.321,6.8
CA,Sutter County,0.259,6.063
CA,Sutter County,0.276,5.9
CA,Tehama County,0.26,6.601
CA,Tehama County,0.271,6.4
CA,Trinity County,0.251,6.596
CA,Trinity County,0.25,6.4
CA,Tulare County,0.295,6.389
CA,Tulare County,0.283,6.4
CA,Tuolumne County,0.227,7.141
CA,Tuolumne County,0.227,6.8
